Time,Device name,c8y_SensorTagTemperature => Temperature,c8y_SensorTagLuxometer => Luxometer,c8y_SensorTagHumidity => Humidity
2023-02-25T16:49:48.000+08:00,SensorTag,N/A,336,N/A
2023-02-25T16:49:48.000+08:00,SensorTag,28,N/A,N/A
2023-02-25T16:49:48.000+08:00,SensorTag,N/A,N/A,49.59945067521172
2023-02-25T16:49:50.000+08:00,SensorTag,28,N/A,N/A
2023-02-25T16:49:50.000+08:00,SensorTag,N/A,336,N/A
2023-02-25T16:49:50.000+08:00,SensorTag,N/A,N/A,50.000762951094835
2023-02-25T16:49:52.000+08:00,SensorTag,N/A,N/A,50.000762951094835
2023-02-25T16:49:52.000+08:00,SensorTag,N/A,329.92,N/A
2023-02-25T16:49:52.000+08:00,SensorTag,29.6,N/A,N/A
2023-02-25T16:49:56.000+08:00,SensorTag,29,N/A,N/A
2023-02-25T16:49:56.000+08:00,SensorTag,N/A,336,N/A
2023-02-25T16:49:56.000+08:00,SensorTag,N/A,N/A,50.800335698481724
2023-02-25T16:49:58.000+08:00,SensorTag,29,N/A,N/A
2023-02-25T16:49:58.000+08:00,SensorTag,N/A,N/A,50.499732967116806
2023-02-25T16:49:58.000+08:00,SensorTag,N/A,288,N/A
2023-02-25T16:50:00.000+08:00,SensorTag,N/A,282,N/A
2023-02-25T16:50:00.000+08:00,SensorTag,28.8,N/A,N/A
